市区町村コード,都道府県,市区町村,年齢（５歳階級）,性別,国籍・地域,在留資格,在留外国人数
,,,,,フランス,日本人の配偶者等,1
,,,,,ポーランド,技術・人文知識・国際業務,1
,,,,,,日本人の配偶者等,1
,,,,,エジプト,留学,3
,,,,,,家族滞在,1
,,,,,ガーナ,家族滞在,1
,,,,,スーダン,家族滞在,1
,,,,,タンザニア,家族滞在,2
,,,,,南アフリカ共和国,教育,1
,,,,,,技術・人文知識・国際業務,2
,,,,,モーリタニア,家族滞在,1
,,,,,ルワンダ,家族滞在,1
,,,,,カナダ,教育,1
,,,,,,技術・人文知識・国際業務,1
,,,,,米国,家族滞在,1
,,,,,ベネズエラ,家族滞在,1
,,,,,ペルー,技術・人文知識・国際業務,1
,,,08_35～39歳,1:男,アフガニスタン,特定活動,1
,,,,,,定住者,1
,,,,,インド,教授,1
,,,,,,永住者,1
,,,,,インドネシア,特定技能１号,3
,,,,,,留学,3
,,,,,韓国,宗教,1
,,,,,,高度専門職１号ロ,1
,,,,,,技術・人文知識・国際業務,11
,,,,,,企業内転勤,1
,,,,,,永住者,1
,,,,,,日本人の配偶者等,1
,,,,,,特別永住者,4
,,,,,スリランカ,技術・人文知識・国際業務,3
,,,,,,技能,2
,,,,,タイ,技術・人文知識・国際業務,2
,,,,,,企業内転勤,1
,,,,,,留学,1
,,,,,台湾,高度専門職１号ロ,12
,,,,,,経営・管理,1
,,,,,,技術・人文知識・国際業務,7
,,,,,,企業内転勤,2
,,,,,,家族滞在,1
,,,,,,永住者,3
,,,,,,日本人の配偶者等,1
,,,,,中国,高度専門職１号イ,1
,,,,,,経営・管理,1
,,,,,,技術・人文知識・国際業務,10
,,,,,,企業内転勤,1
,,,,,,特定技能１号,2
,,,,,,文化活動,1
,,,,,,留学,3
,,,,,,家族滞在,5
,,,,,,永住者,13
,,,,,,日本人の配偶者等,1
,,,,,ネパール,経営・管理,2
,,,,,,技術・人文知識・国際業務,6
,,,,,,技能,11
,,,,,,家族滞在,2
,,,,,パキスタン,経営・管理,1
,,,,,バングラデシュ,教授,2
,,,,,,技術・人文知識・国際業務,1
,,,,,,文化活動,1
,,,,,,留学,4
,,,,,,家族滞在,1
,,,,,,永住者,1
,,,,,フィリピン,教授,1
,,,,,,技術・人文知識・国際業務,4
,,,,,,特定技能１号,2
,,,,,,技能実習２号ロ,2
,,,,,,定住者,2
,,,,,ベトナム,技術・人文知識・国際業務,1
,,,,,,特定技能１号,8
,,,,,,技能実習２号ロ,1
,,,,,ラオス,留学,1
,,,,,ノルウェー,日本人の配偶者等,1
,,,,,フランス,永住者,2
,,,,,ロシア,日本人の配偶者等,1
,,,,,アルジェリア,宗教,1
,,,,,,永住者の配偶者等,1
,,,,,エジプト,留学,2
,,,,,,家族滞在,1
,,,,,,日本人の配偶者等,1
,,,,,ギニア,日本人の配偶者等,1
,,,,,ケニア,留学,1
,,,,,ジブチ,留学,1
,,,,,スーダン,教授,1
,,,,,,高度専門職１号イ,1
,,,,,,留学,1
,,,,,,定住者,1
,,,,,タンザニア,教授,1
,,,,,,留学,3
,,,,,ナイジェリア,留学,1
,,,,,カナダ,技術・人文知識・国際業務,1
,,,,,米国,技術・人文知識・国際業務,3
,,,,,,興行,1
,,,,,,永住者,1
,,,,,,日本人の配偶者等,2
,,,,,オーストラリア,技術・人文知識・国際業務,1
,,,,,,永住者,1
,,,,,,日本人の配偶者等,1
,,,,,サモア,留学,1
,,,,,フィジー,日本人の配偶者等,1
,,,,2:女,インド,教授,1
,,,,,インドネシア,教授,1
,,,,,,特定技能１号,2
,,,,,,留学,3
,,,,,韓国,家族滞在,1
,,,,,,特別永住者,1
,,,,,タイ,技術・人文知識・国際業務,3
,,,,,,技能,1
,,,,,,留学,1
,,,,,台湾,高度専門職１号ロ,4
,,,,,,技術・人文知識・国際業務,21
,,,,,,企業内転勤,5
,,,,,,家族滞在,6
,,,,,,永住者,5
,,,,,,日本人の配偶者等,2
,,,,,,永住者の配偶者等,1
,,,,,中国,宗教,1
,,,,,,高度専門職１号イ,1
,,,,,,経営・管理,1
,,,,,,技術・人文知識・国際業務,12
,,,,,,介護,2
,,,,,,留学,3
,,,,,,家族滞在,3
,,,,,,永住者,16
,,,,,,永住者の配偶者等,3
,,,,,,定住者,1
,,,,,トルコ,教授,1
,,,,,,教育,1
,,,,,ネパール,技術・人文知識・国際業務,1
,,,,,,家族滞在,4
,,,,,,日本人の配偶者等,1
,,,,,バングラデシュ,留学,1
,,,,,,永住者,1
,,,,,フィリピン,特定技能１号,1
,,,,,,技能実習１号ロ,1
,,,,,,留学,1
,,,,,,永住者,5
,,,,,,日本人の配偶者等,3
,,,,,,定住者,4
,,,,,ベトナム,技術・人文知識・国際業務,1
,,,,,,特定技能１号,3
,,,,,,技能実習２号ロ,1
,,,,,,家族滞在,1
,,,,,,日本人の配偶者等,1
,,,,,ミャンマー,教授,1
,,,,,,留学,1
,,,,,,特定活動,1
,,,,,ラオス,家族滞在,1
,,,,,ウズベキスタン,技術・人文知識・国際業務,1
,,,,,ドイツ,技術・人文知識・国際業務,1
,,,,,エジプト,留学,1
,,,,,ガーナ,留学,2
,,,,,スーダン,家族滞在,1
,,,,,タンザニア,留学,1
,,,,,ナイジェリア,技術・人文知識・国際業務,1
,,,,,米国,教育,1
,,,,,,興行,1
,,,,,,永住者,1
,,,,,,日本人の配偶者等,1
,,,09_40～44歳,1:男,インド,教授,1
,,,,,,技能,3
,,,,,インドネシア,特定技能１号,1
,,,,,韓国,教授,1
,,,,,,高度専門職１号ロ,1
,,,,,,技術・人文知識・国際業務,3
,,,,,,企業内転勤,1
,,,,,,永住者,3
,,,,,,日本人の配偶者等,1
,,,,,,特別永住者,1
,,,,,スリランカ,技能,3
,,,,,台湾,高度専門職１号ロ,6
,,,,,,技術・人文知識・国際業務,4
,,,,,,企業内転勤,5
,,,,,,永住者,2
,,,,,,日本人の配偶者等,1
,,,,,中国,教授,1
,,,,,,経営・管理,1
,,,,,,技術・人文知識・国際業務,7
,,,,,,技能,1
,,,,,,特定技能１号,4
,,,,,,留学,2
,,,,,,家族滞在,1
,,,,,,永住者,17
,,,,,,日本人の配偶者等,1
,,,,,,永住者の配偶者等,3
,,,,,ネパール,経営・管理,1
,,,,,,技術・人文知識・国際業務,1
,,,,,,技能,6
,,,,,,家族滞在,2
,,,,,パキスタン,永住者,1
,,,,,フィリピン,永住者,1
,,,,,ブータン,永住者,1
,,,,,ベトナム,特定技能１号,1
,,,,,マレーシア,技術・人文知識・国際業務,1
,,,,,ミャンマー,家族滞在,1
,,,,,モンゴル,高度専門職１号イ,1
,,,,,英国,永住者,1
,,,,,,日本人の配偶者等,2
,,,,,サンマリノ,日本人の配偶者等,1
,,,,,スウェーデン,永住者,1
,,,,,フランス,日本人の配偶者等,1
,,,,,,定住者,1
