市区町村コード,都道府県,市区町村,年齢（５歳階級）,性別,国籍・地域,在留資格,在留外国人数
,,,,,フィリピン,教育,2
,,,,,,技術・人文知識・国際業務,4
,,,,,,企業内転勤,1
,,,,,,介護,1
,,,,,,技能実習１号ロ,1
,,,,,,技能実習２号ロ,4
,,,,,,永住者,1
,,,,,,日本人の配偶者等,5
,,,,,,定住者,5
,,,,,ベトナム,技術・人文知識・国際業務,1
,,,,,,特定技能１号,8
,,,,,,技能実習１号ロ,2
,,,,,,技能実習２号ロ,10
,,,,,,留学,1
,,,,,,家族滞在,2
,,,,,,永住者,1
,,,,,マレーシア,技術・人文知識・国際業務,1
,,,,,ミャンマー,技術・人文知識・国際業務,12
,,,,,,特定技能１号,4
,,,,,,技能実習２号ロ,2
,,,,,,留学,2
,,,,,,特定活動,1
,,,,,モンゴル,留学,1
,,,,,アルメニア,留学,1
,,,,,ウクライナ,技術・人文知識・国際業務,1
,,,,,英国,教育,1
,,,,,オーストリア,日本人の配偶者等,1
,,,,,カザフスタン,留学,1
,,,,,キルギス,留学,1
